Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Goldman Sachs,"California, New York",Software Engineer,4/8/20 4:58,Yes,1869,10001+,30470
Good Dog,New York,"Designer,Operations,Marketing,Product Manager",4/23/20 19:20,No,2006,10-Jan,0
Good Money,Remote,"Software Engineer,Marketing,Data Science",4/23/20 19:20,No,2018,10-Jan,3
Google,US,"Product Designer,Hardware Engineer,Software Engineer,Finance/Accounting,Data Science",4/7/20 22:41,Yes,1998,10001+,75109
Gotion Inc.,California,HR,4/17/20 18:51,No,2014,Nov-50,22
Grammarly,California,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2008,51 - 200,100
Gravity Sketch,United Kingdom,"Software Engineer,Designer,Marketing,Customer Service",4/23/20 19:20,No,2014,Nov-50,7
Grid Dynamics,California,Product Manager,4/17/20 18:51,No,2006,501 - 1000,474
Grifin,Florida,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2017,10-Jan,5
Grifols,California,Operation,4/17/20 18:51,No,1940,10001+,4096
Gtmhub,Colorado,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,2015,Nov-50,10
Guidehouse,California,Operation,4/17/20 18:51,No,2005,201 - 500,70
Guru,Pennsylvania,HR,4/28/20 17:09,No,1995,501 - 1000,440
Gusto,New York,Software Engineer,4/24/20 16:18,No,2011,51 - 200,32
Hackensack Meridian Health,California,HR,4/17/20 18:51,No,2016,1001 - 5000,978
Hackerone,California,Marketing,4/23/20 19:20,No,2012,501 - 1000,259
Haemonetics,California,HR,4/17/20 18:51,No,1971,1001 - 5000,1126
Happy Elements,California,Product Manager,4/17/20 18:51,No,2009,201 - 500,116
Harley-Davidson Motor Company,Wisconsin,Product Manager,4/17/20 18:51,No,1903,5001 - 10000,4323
Hatch,California,"Software Engineer,Product Manager",4/8/20 5:01,No,1955,5001 - 10000,4157
Haus,California,Software Engineer,4/19/20 22:15,No,2015,501 - 1000,188
Haven Life,New York,Product Designer,4/16/20 15:53,No,2014,51 - 200,57
Hawthorne,New York,Software Engineer,4/24/20 16:18,No,1986,51 - 200,71
Headspace,California,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,2006,1001 - 5000,607
Headway,New York,"Software Engineer,Operations,Marketing,Sales,Product Manager",4/23/20 19:20,No,1979,51 - 200,41
Health Gorilla,California,"Customer Service,Operations,Sales,Operation,Software Engineer",4/18/20 20:53,No,2011,Nov-50,8
Healthline Media,Washington,HR,4/17/20 18:51,No,2001,201 - 500,236
Hearst Magazines,New York,Product Manager,4/17/20 10:01,No,1903,1001 - 5000,1508
Hedera Hashgraph,Texas,Software Engineer,4/18/20 14:24,No,2016,51 - 200,26
Helpshift,California,"Operations,Marketing,Sales",4/23/20 19:20,No,2011,51 - 200,95
Hexawise,North Carolina,"Marketing,Sales,Customer Service",4/23/20 19:20,No,2009,Nov-50,6
Highspot,Washington,Software Engineer,4/8/20 0:08,No,2012,51 - 200,89
Hippo,California,Software Engineer,4/8/20 5:02,No,1999,51 - 200,33
Hive,California,Product Manager,4/17/20 18:51,No,2008,51 - 200,53
Hiya,Washington,"Software Engineer,Marketing,Sales,Product Manager",4/23/20 19:20,No,2016,10-Jan,3
Holler,Pennsylvania,HR,4/17/20 18:51,No,2001,51 - 200,34
Home Depot,US,Finance/Accounting,4/17/20 18:51,No,1978,10001+,9756
Houzz,California,Product Manager,4/21/20 19:06,No,2009,1001 - 5000,1468
Hungryroot,New York,"Marketing,Customer Service,Data Science,Finance/Accounting",4/23/20 19:20,No,2015,Nov-50,15
Hyland,Washington,Operation,4/17/20 18:51,No,1991,1001 - 5000,1957
Hyperscience,New York,"Software Engineer,Operations,Marketing,Sales,Customer Service,Product Manager",4/23/20 19:20,No,2014,51 - 200,38
Híbrido,Brazil,Software Engineer,4/8/20 5:04,No,2013,Nov-50,11
Illumina,California,Software Engineer,4/23/20 19:20,No,1998,5001 - 10000,3685
